unify name,binance name,okex name
BTC.ZAR,BTCZAR,
BTCDOWN.USDT,BTCDOWNUSDT,
BTCST.BTC,BTCSTBTC,
BTCST.BUSD,BTCSTBUSD,
BTCST.USDT,BTCSTUSDT,
BTCUP.USDT,BTCUPUSDT,
BTG.BTC,BTGBTC,BTG-BTC
BTG.BUSD,BTGBUSD,
BTG.ETH,BTGETH,
BTG.USDT,BTGUSDT,BTG-USDT
BTM.BTC,,BTM-BTC
BTM.ETH,,BTM-ETH
BTM.USDT,,BTM-USDT
BTS.BNB,BTSBNB,
BTS.BTC,BTSBTC,
BTS.BUSD,BTSBUSD,
BTS.ETH,BTSETH,
BTS.USDT,BTSUSDT,
BTT.BNB,BTTBNB,
BTT.BRL,BTTBRL,
BTT.BTC,BTTBTC,BTT-BTC
BTT.BUSD,BTTBUSD,
BTT.EUR,BTTEUR,
BTT.PAX,BTTPAX,
BTT.TRX,BTTTRX,
BTT.TRY,BTTTRY,
BTT.TUSD,BTTTUSD,
BTT.USDC,BTTUSDC,
BTT.USDT,BTTUSDT,BTT-USDT
BULL.BUSD,BULLBUSD,
BULL.USDT,BULLUSDT,
BURGER.BNB,BURGERBNB,
BUSD.BIDR,BUSDBIDR,
BUSD.BKRW,BUSDBKRW,
BUSD.BRL,BUSDBRL,
BUSD.BVND,BUSDBVND,
BUSD.DAI,BUSDDAI,
BUSD.IDRT,BUSDIDRT,
BUSD.NGN,BUSDNGN,
BUSD.RUB,BUSDRUB,
BUSD.TRY,BUSDTRY,
BUSD.USDT,BUSDUSDT,
BUSD.VAI,BUSDVAI,
BUSD.ZAR,BUSDZAR,
BZRX.BNB,BZRXBNB,
BZRX.BTC,BZRXBTC,
BZRX.BUSD,BZRXBUSD,
BZRX.USDT,BZRXUSDT,
CAKE.BNB,CAKEBNB,
CAKE.BTC,CAKEBTC,
CAKE.BUSD,CAKEBUSD,
CAKE.USDT,CAKEUSDT,
CDT.BTC,CDTBTC,
CDT.ETH,CDTETH,
CEL.USDT,,CEL-USDT
CELO.BTC,CELOBTC,CELO-BTC
CELO.USDT,CELOUSDT,CELO-USDT
CELR.BNB,CELRBNB,
CELR.BTC,CELRBTC,
CELR.USDT,CELRUSDT,CELR-USDT
CFX.BTC,CFXBTC,CFX-BTC
CFX.BUSD,CFXBUSD,
CFX.USDT,CFXUSDT,CFX-USDT
CHAT.BTC,CHATBTC,
CHAT.ETH,CHATETH,
CHAT.USDT,,CHAT-USDT
CHR.BNB,CHRBNB,
CHR.BTC,CHRBTC,
CHR.USDT,CHRUSDT,
CHZ.BNB,CHZBNB,
CHZ.BRL,CHZBRL,
CHZ.BTC,CHZBTC,CHZ-BTC
CHZ.BUSD,CHZBUSD,
CHZ.EUR,CHZEUR,
CHZ.GBP,CHZGBP,
CHZ.TRY,CHZTRY,
CHZ.USDT,CHZUSDT,CHZ-USDT
CKB.BTC,CKBBTC,
CKB.BUSD,CKBBUSD,
CKB.USDT,CKBUSDT,
CLOAK.BTC,CLOAKBTC,
CLOAK.ETH,CLOAKETH,
CMT.BNB,CMTBNB,
CMT.BTC,CMTBTC,CMT-BTC
CMT.ETH,CMTETH,CMT-ETH
CMT.USDT,,CMT-USDT
CND.BNB,CNDBNB,
CND.BTC,CNDBTC,
CND.ETH,CNDETH,
CNTM.USDT,,CNTM-USDT
COCOS.BNB,COCOSBNB,
COCOS.BTC,COCOSBTC,
COCOS.USDT,COCOSUSDT,
COMP.BNB,COMPBNB,
COMP.BTC,COMPBTC,COMP-BTC
COMP.BUSD,COMPBUSD,
COMP.USDT,COMPUSDT,COMP-USDT
CONV.USDT,,CONV-USDT
COS.BNB,COSBNB,
COS.BTC,COSBTC,
COS.USDT,COSUSDT,
COTI.BNB,COTIBNB,
COTI.BTC,COTIBTC,
COTI.USDT,COTIUSDT,
COVER.BUSD,COVERBUSD,
COVER.ETH,COVERETH,
COVER.USDT,,COVER-USDT
CREAM.BNB,CREAMBNB,
CREAM.BUSD,CREAMBUSD,
CRO.BTC,,CRO-BTC
CRO.USDK,,CRO-USDK
CRO.USDT,,CRO-USDT
CRV.BNB,CRVBNB,
CRV.BTC,CRVBTC,CRV-BTC
CRV.BUSD,CRVBUSD,
CRV.ETH,,CRV-ETH
CRV.USDT,CRVUSDT,CRV-USDT
CTC.BTC,,CTC-BTC
CTC.USDT,,CTC-USDT
CTK.BNB,CTKBNB,
CTK.BTC,CTKBTC,
CTK.BUSD,CTKBUSD,
CTK.USDT,CTKUSDT,
CTSI.BNB,CTSIBNB,
CTSI.BTC,CTSIBTC,
CTSI.BUSD,CTSIBUSD,
CTSI.USDT,CTSIUSDT,
CTXC.BNB,CTXCBNB,
CTXC.BTC,CTXCBTC,CTXC-BTC
CTXC.ETH,,CTXC-ETH
CTXC.USDT,CTXCUSDT,CTXC-USDT
