unify name,binance name,okex name
XRP.BKRW,XRPBKRW,
XRP.BNB,XRPBNB,
XRP.BRL,XRPBRL,
XRP.BTC,XRPBTC,XRP-BTC
XRP.BUSD,XRPBUSD,
XRP.ETH,XRPETH,XRP-ETH
XRP.EUR,XRPEUR,
XRP.GBP,XRPGBP,
XRP.NGN,XRPNGN,
XRP.OKB,,XRP-OKB
XRP.PAX,XRPPAX,
XRP.RUB,XRPRUB,
XRP.TRY,XRPTRY,
XRP.TUSD,XRPTUSD,
XRP.USDC,XRPUSDC,XRP-USDC
XRP.USDK,,XRP-USDK
XRP.USDT,XRPUSDT,XRP-USDT
XRPBEAR.BUSD,XRPBEARBUSD,
XRPBEAR.USDT,XRPBEARUSDT,
XRPBULL.BUSD,XRPBULLBUSD,
XRPBULL.USDT,XRPBULLUSDT,
XRPDOWN.USDT,XRPDOWNUSDT,
XRPUP.USDT,XRPUPUSDT,
XSR.USDT,,XSR-USDT
XTZ.BNB,XTZBNB,
XTZ.BTC,XTZBTC,XTZ-BTC
XTZ.BUSD,XTZBUSD,
XTZ.USDT,XTZUSDT,XTZ-USDT
XTZDOWN.USDT,XTZDOWNUSDT,
XTZUP.USDT,XTZUPUSDT,
XUC.USDT,,XUC-USDT
XVG.BTC,XVGBTC,
XVG.BUSD,XVGBUSD,
XVG.ETH,XVGETH,
XVS.BNB,XVSBNB,
XVS.BTC,XVSBTC,
XVS.BUSD,XVSBUSD,
XVS.USDT,XVSUSDT,
YEE.USDT,,YEE-USDT
YFI.BNB,YFIBNB,
YFI.BTC,YFIBTC,YFI-BTC
YFI.BUSD,YFIBUSD,
YFI.ETH,,YFI-ETH
YFI.EUR,YFIEUR,
YFI.USDT,YFIUSDT,YFI-USDT
YFIDOWN.USDT,YFIDOWNUSDT,
YFII.BNB,YFIIBNB,
YFII.BTC,YFIIBTC,
YFII.BUSD,YFIIBUSD,
YFII.USDT,YFIIUSDT,YFII-USDT
YFIUP.USDT,YFIUPUSDT,
YOU.BTC,,YOU-BTC
YOU.USDT,,YOU-USDT
YOYO.BNB,YOYOBNB,
YOYO.BTC,YOYOBTC,
YOYO.ETH,YOYOETH,
YOYO.USDT,,YOYO-USDT
ZEC.BNB,ZECBNB,
ZEC.BTC,ZECBTC,ZEC-BTC
ZEC.BUSD,ZECBUSD,
ZEC.ETH,ZECETH,ZEC-ETH
ZEC.PAX,ZECPAX,
ZEC.TUSD,ZECTUSD,
ZEC.USDC,ZECUSDC,
ZEC.USDT,ZECUSDT,ZEC-USDT
ZEN.BNB,ZENBNB,
ZEN.BTC,ZENBTC,ZEN-BTC
ZEN.ETH,ZENETH,
ZEN.USDT,ZENUSDT,ZEN-USDT
ZIL.BIDR,ZILBIDR,
ZIL.BNB,ZILBNB,
ZIL.BTC,ZILBTC,ZIL-BTC
ZIL.BUSD,ZILBUSD,
ZIL.ETH,ZILETH,ZIL-ETH
ZIL.USDT,ZILUSDT,ZIL-USDT
ZKS.USDT,,ZKS-USDT
ZRX.BNB,ZRXBNB,
ZRX.BTC,ZRXBTC,ZRX-BTC
ZRX.BUSD,ZRXBUSD,
ZRX.ETH,ZRXETH,ZRX-ETH
ZRX.USDT,ZRXUSDT,ZRX-USDT
ZYRO.USDT,,ZYRO-USDT
